Brnd_Name,Gnrc_Name,Tot_Mftr,Mftr_Name,Year,CAGR_Avg_Spnd_Per_Dsg_Unt_19_23,Chg_Avg_Spnd_Per_Dsg_Unt_22_23,Avg_Spnd_Per_Bene,Avg_Spnd_Per_Clm,Avg_Spnd_Per_Dsg_Unt_Wghtd,Outlier_Flag,Tot_Benes,Tot_Clms,Tot_Dsg_Unts,Tot_Spndng,ATC_Codes,Disease_Category
Abilify,Aripiprazole,1,Overall,2019,-0.085913695,0.009091911,7317.338079,1282.517348,33.40220819,0.0,3670.0,20939.0,808281.5,26854630.75,N05AX,Other / Not classified
Abilify,Aripiprazole,1,Overall,2020,-0.085913695,0.009091911,9669.001031,1384.018916,34.43652749,0.0,2532.0,17689.0,716447.5,24481910.61,N05AX,Other / Not classified
Abilify,Aripiprazole,1,Overall,2021,-0.085913695,0.009091911,9422.654637,1342.300713,32.65616444,0.0,2174.0,15261.0,633899.0,20484851.18,N05AX,Other / Not classified
Abilify,Aripiprazole,1,Overall,2022,-0.085913695,0.009091911,6844.384531,967.2617621,23.10964437,0.0,1920.0,13586.0,575817.0,13141218.3,N05AX,Other / Not classified
Abilify,Aripiprazole,1,Overall,2023,-0.085913695,0.009091911,6845.013358,980.8454965,23.3197552,0.0,1736.0,12115.0,516496.25,11882943.19,N05AX,Other / Not classified
Abilify,Aripiprazole,1,Otsuka America,2019,-0.085913695,0.009091911,7317.338079,1282.517348,33.40220819,0.0,3670.0,20939.0,808281.5,26854630.75,N05AX,Other / Not classified
Abilify,Aripiprazole,1,Otsuka America,2020,-0.085913695,0.009091911,9669.001031,1384.018916,34.43652749,0.0,2532.0,17689.0,716447.5,24481910.61,N05AX,Other / Not classified
Abilify,Aripiprazole,1,Otsuka America,2021,-0.085913695,0.009091911,9422.654637,1342.300713,32.65616444,0.0,2174.0,15261.0,633899.0,20484851.18,N05AX,Other / Not classified
Abilify,Aripiprazole,1,Otsuka America,2022,-0.085913695,0.009091911,6844.384531,967.2617621,23.10964437,0.0,1920.0,13586.0,575817.0,13141218.3,N05AX,Other / Not classified
Abilify,Aripiprazole,1,Otsuka America,2023,-0.085913695,0.009091911,6845.013358,980.8454965,23.3197552,0.0,1736.0,12115.0,516496.25,11882943.19,N05AX,Other / Not classified
Abilify Maintena,Aripiprazole,1,Overall,2019,0.053032248,0.070077602,16601.96618,2231.355516,2222.069637,0.0,25421.0,189140.0,189937.35,422038582.3,N05AX,Other / Not classified
Abilify Maintena,Aripiprazole,1,Overall,2020,0.053032248,0.070077602,17948.72932,2265.119783,2253.594888,0.0,25646.0,203218.0,204264.771,460313112.0,N05AX,Other / Not classified
Abilify Maintena,Aripiprazole,1,Overall,2021,0.053032248,0.070077602,18922.78676,2392.085174,2368.508428,0.0,26393.0,208784.0,210840.18,499429110.9,N05AX,Other / Not classified
Abilify Maintena,Aripiprazole,1,Overall,2022,0.053032248,0.070077602,20367.20996,2564.024794,2553.342516,0.0,27676.0,219843.0,220767.4,563682902.8,N05AX,Other / Not classified
Abilify Maintena,Aripiprazole,1,Overall,2023,0.053032248,0.070077602,21678.0547,2743.161633,2732.274636,0.0,29378.0,232162.0,233084.9,636857890.9,N05AX,Other / Not classified
Abilify Maintena,Aripiprazole,1,Otsuka America,2019,0.053032248,0.070077602,16601.96618,2231.355516,2222.069637,0.0,25421.0,189140.0,189937.35,422038582.3,N05AX,Other / Not classified
Abilify Maintena,Aripiprazole,1,Otsuka America,2020,0.053032248,0.070077602,17948.72932,2265.119783,2253.594888,0.0,25646.0,203218.0,204264.771,460313112.0,N05AX,Other / Not classified
Abilify Maintena,Aripiprazole,1,Otsuka America,2021,0.053032248,0.070077602,18922.78676,2392.085174,2368.508428,0.0,26393.0,208784.0,210840.18,499429110.9,N05AX,Other / Not classified
Abilify Maintena,Aripiprazole,1,Otsuka America,2022,0.053032248,0.070077602,20367.20996,2564.024794,2553.342516,0.0,27676.0,219843.0,220767.4,563682902.8,N05AX,Other / Not classified
Abilify Maintena,Aripiprazole,1,Otsuka America,2023,0.053032248,0.070077602,21678.0547,2743.161633,2732.274636,0.0,29378.0,232162.0,233084.9,636857890.9,N05AX,Other / Not classified
Abilify Mycite,Aripiprazole,1,Overall,2020,0.003513363,-0.002723299,6158.147333,1965.36617,56.90881206,1.0,15.0,47.0,1620.0,92372.21,N05AX,Other / Not classified
Abilify Mycite,Aripiprazole,1,Otsuka America,2020,0.003513363,-0.002723299,6158.147333,1965.36617,56.90881206,1.0,15.0,47.0,1620.0,92372.21,N05AX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,19,Overall,2019,-0.061795304,-0.03906461,15826.33216,5065.371759,43.384442,0.0,17787.0,55574.0,6472203.0,281502970.2,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,19,Overall,2020,-0.061795304,-0.03906461,17034.56817,3201.761427,28.12578175,0.0,23638.0,125763.0,14319839.0,402663122.4,L01XK|L02BX,Other / Not classified
