Gnrc_Name,ATC_Codes,Disease_Category
Beclomethasone Dipropionate,A07EA|D07AC|R01AD|R03BA,
Bedaquiline Fumarate,J04AK,
Belatacept,L04AA,Arthritis
Belimumab,L04AG,Arthritis
Belumosudil Mesylate,L04AA,Arthritis
Belzutifan,L01XX,
Bempedoic Acid,C10AX|C10BA,High Cholesterol
Bempedoic Acid/Ezetimibe,,
Benazepril HCl,,
Benazepril/Hydrochlorothiazide,,
Bendamustine HCl,,
Benralizumab,R03DX,
Benzonatate,R05DB,
Benzoyl Peroxide,D10AE,
Benztropine Mesylate,N04AC,
Bepotastine Besilate,,
Beremagene Geperpavec-Svdt,D03AX,
Berotralstat Hydrochloride,B06AC,
Besifloxacin HCl,,
Betaine,A09AB|A16AA,
"Betamethasone Acetate,Sod Phos",,
Betamethasone Dipropionate,A07EA|C05AA|D07AC|D07XC|H02AB|R01AD|R03BA|S01BA|S01CB|S02BA|S03BA,
Betamethasone Valerate,A07EA|C05AA|D07AC|D07XC|H02AB|R01AD|R03BA|S01BA|S01CB|S02BA|S03BA,
Betamethasone/Propylene Glyc,,
Betaxolol HCl,,
Bethanechol Chloride,N07AB,
Bevacizumab,L01FG|S01LA,
Bevacizumab-Awwb,L01FG|S01LA,
Bevacizumab-Bvzr,L01FG|S01LA,
Bevacizumab-Maly,L01FG|S01LA,
Bexarotene,L01XF,
Bezlotoxumab,J06BC,
Bicalutamide,L02BB,
Bictegrav/Emtricit/Tenofov Ala,,
Bimatoprost,S01EE,
Bimekizumab-Bkzx,L04AC,Arthritis
Binimetinib,L01EE,
Bismuth/Metronid/Tetracycline,,
Bisoprolol Fumarate,C07AB,Hypertension
Bisoprolol/Hydrochlorothiazide,,
Blinatumomab,L01FX,
Blood-Glucose Sensor,,
"Bolus Insulin Pump, 200 Unit",,
Bortezomib,L01XG,
Bosentan,C02KX,Hypertension
Bosutinib,L01EA,
Brentuximab Vedotin,L01FX,
Brexpiprazole,N05AX,
Brigatinib,L01ED,
Brimonidine Tartrate,D11AX|S01EA|S01GA,
Brimonidine Tartrate/Timolol,,
Brinzolamide,S01EC,
Brinzolamide/Brimonidine Tart,,
Brivaracetam,N03AX,
Brodalumab,L04AC,Arthritis
Brolucizumab-Dbll,S01LA,
Bromfenac Sodium,S01BC,
Bromocriptine Mesylate,G02CB|N04BC,
Brompheniramine/Pseudoephed/DM,,
Budesonide,A07EA|D07AC|R01AD|R03AK|R03BA,
Budesonide/Formoterol Fumarate,,
Budesonide/Glycopyr/Formoterol,,
Bumetanide,C03CA|C03CB,Hypertension
Bupivacaine HCl,,
Bupivacaine HCl/PF,,
Buprenorphine,N02AE|N07BC,
Buprenorphine HCl,,
Buprenorphine HCl/Naloxone HCl,,
Bupropion HBr,,
Bupropion HCl,,
Burosumab-Twza,M05BX,
Buspirone HCl,,
Busulfan,L01AB,
Butalb/Acetaminophen/Caffeine,,
Butalbit/Acetamin/Caff/Codeine,,
Butalbital/Acetaminophen,,
Butalbital/Aspirin/Caffeine,,
Butenafine HCl,,
Butoconazole Nitrate,G01AF,
Butorphanol Tartrate,N02AF,
C1 Esterase Inhibitor,B06AC,
"C1 Esterase Inhibitor, Recomb",,
Cabazitaxel,L01CD,
Cabergoline,G02CB|N04BC,
Cabotegravir,J05AJ,
Cabotegravir/Rilpivirine,,
Cabozantinib S-Malate,L01EX,
Calcifediol,A11CC|H05BX,
Calcipotriene,D05AX,
Calcipotriene/Betamethasone,,
"Calcitonin,Salmon,Synthetic",,
Calcitriol,A11CC|D05AX,
Calcium Acetate,V03AE,
Calcium Gluconate,A12AA|B05XA|D11AX,
Canagliflozin,A10BD|A10BK,Diabetes
Canagliflozin/Metformin HCl,,
Canakinumab/PF,,
Candesartan Cilexetil,C09CA,Hypertension
Candesartan/Hydrochlorothiazid,,
Cannabidiol (Cbd),,
Capecitabine,L01BC,
Capivasertib,L01EX,
Caplacizumab-Yhdp,B01AX,
Capmatinib Hydrochloride,L01EX,
