Gnrc_Name,ATC_Codes,Disease_Category
Fondaparinux Sodium,B01AX,
Formoterol Fumarate,R03AC|R03AK|R03CC,
Fosamprenavir Calcium,J05AE,
Fosaprepitant Dimeglumine,,
Fosfomycin Tromethamine,J01XX|S02AA,
Fosinopril Sodium,C09AA,Hypertension
Fosinopril/Hydrochlorothiazide,,
Fosnetupitant/Palonosetron,,
Fosphenytoin Sodium,N03AB,
Fostamatinib Disodium,B02BX,
Fostemsavir Tromethamine,J05AX,
Fremanezumab-Vfrm,N02CD,
Frovatriptan Succinate,N02CC,
Fruquintinib,L01EK,
Fulvestrant,L02BA,
Furosemide,C03CA|C03CB,Hypertension
Futibatinib,L01EN,
Gabapentin,N02BF,
Gabapentin Enacarbil,N02BF,
Galantamine HBr,,
Galcanezumab-Gnlm,N02CD,
Galsulfase,A16AB,
Ganaxolone,N03AX,
Ganciclovir,J05AB|S01AD,
Ganciclovir Sodium,J05AB|S01AD,
Gatifloxacin,J01MA|S01AE,
Gauze Bandage,,
Gefitinib,L01EB,
Gemcitabine HCl,,
Gemfibrozil,C10AB,High Cholesterol
"Gentamicin In NaCl, Iso-Osm",,
Gentamicin Sulfate,D06AX|J01GB|S01AA|S02AA|S03AA,
Gentamicin Sulfate/PF,,
Gilteritinib Fumarate,L01EX,
Givosiran Sodium,A16AX,
Glasdegib Maleate,L01XJ,
Glatiramer Acetate,L03AX,
Glecaprevir/Pibrentasvir,,
Glimepiride,A10BB|A10BD,Diabetes
Glipizide,A10BB,Diabetes
Glipizide/Metformin HCl,,
Glucagon,H04AA,
Glucagon HCl,,
Glutamine,A16AA,
Glyburide,A10BB,Diabetes
"Glyburide,Micronized",,
Glyburide/Metformin HCl,,
Glycerol Phenylbutyrate,A16AX,
Glycopyrrol/Nebulizer/Accessor,,
Glycopyrrolate,D11AA,
Glycopyrrolate/Formoterol Fum,,
Glycopyrrolate/Neb.Accessories,,
Glycopyrronium Tosylate,D11AA,
Golimumab,L04AB,Arthritis
Golodirsen,M09AX,
Goserelin Acetate,L02AE,
Gr Pol-Orc/Sw Ver/Rye/Kent/Tim,,
Granisetron,A04AA,
Granisetron HCl,,
Granisetron HCl/PF,,
"Grass Pollen-Timothy, Standard",,
Griseofulvin Ultramicrosize,,
"Griseofulvin, Microsize",,
Guanfacine HCl,,
Guselkumab,L04AC,Arthritis
HPv Vaccine 9-Valent/PF,,
Haemoph B Poly Conj-Tet Tox/PF,,
Haemph B Polysac Conj-Menin/PF,,
Halcinonide,D07AD,
Halobetasol Propion/Tazarotene,,
Halobetasol Propionate,D07AC,
Haloperidol,N05AD,
Haloperidol Decanoate,N05AD,
Haloperidol Lactate,N05AD,
Hep B Vaccine/Dp(A)t-Polio/PF,,
"Heparin Sod,Pork In 0.45% NaCl",,
"Heparin Sodium,Porcine",,
"Heparin Sodium,Porcine/PF",,
Hepatitis A And B Vaccine/PF,,
Hepatitis A Virus Vaccine/PF,,
Hepatitis B Vaccine/Cpg1018/PF,,
"Hepatitis B Virus Vac S,M,L/PF",,
Hepatitis B Virus Vaccine/PF,,
Hydralazine HCl,,
Hydrochlorothiazide,C03AA|C09DX|C09XA,Hypertension
Hydrocodone Bit/Homatrop Me-Br,,
Hydrocodone Bitartrate,N02AJ|R05DA,
Hydrocodone/Acetaminophen,,
Hydrocodone/Chlorphen P-Stirex,,
Hydrocodone/Ibuprofen,,
Hydrocortisone,A01AC|A07EA|C05AA|D07AA|D07AB|D07AC|D07XA|H02AB|S01BA|S01CB|S02BA,
Hydrocortisone Acetate,A01AC|A07EA|C05AA|D07AA|D07XA|H02AB|S01BA|S01CB|S02BA,
Hydrocortisone Butyrate,A01AC|A07EA|C05AA|D07AA|D07AB|D07XA|H02AB|S01BA|S01CB|S02BA,
Hydrocortisone Butyrate/Emoll,,
Hydrocortisone Probutate,A01AC|A07EA|C05AA|D07AA|D07AB|D07XA|H02AB|S01BA|S01CB|S02BA,
Hydrocortisone Sod Succinate,,
Hydrocortisone Sodium Succ/PF,,
Hydrocortisone Valerate,A01AC|A07EA|C05AA|D07AA|D07XA|H02AB|S01BA|S01CB|S02BA,
Hydrocortisone/Acetic Acid,,
Hydrocortisone/Pramoxine,,
Hydromorphone HCl,,
Hydromorphone HCl/PF,,
Hydroxychloroquine Sulfate,P01BA,
Hydroxyprogesterone Caproat/PF,,
Hydroxypropyl Cellulose,,
Hydroxyurea,L01XX,
Hydroxyzine HCl,,
Hydroxyzine Pamoate,N05BB,
Hyoscyamine Sulfate,A03BA,
IVabradine HCl,,
IVacaftor,R07AX,
IVermectin,D11AX|P02CF,
IVosidenib,L01XM,
Ibalizumab-Uiyk,J05AX,
Ibandronate Sodium,,
Ibrutinib,L01EL,
Ibuprofen,C01EB|G02CC|M01AE|M02AA|N02AJ|R02AX,Arthritis
Ibuprofen/FAmotidine,,
Icatibant Acetate,B06AC,
Icosapent Ethyl,,
Idelalisib,L01EM,
Idursulfase,A16AB,
"IgG/Hyaluronidase,Recombinant",,
Iloperidone,N05AX,
Imatinib Mesylate,L01EA,
Imiglucerase,A16AB,
Imipenem/Cilastatin Sodium,,
Imipenem/Cilastatin/Relebactam,,
Imipramine HCl,N06AA,
Imipramine Pamoate,N06AA,
Imiquimod,D06BB,
Immun Glob G(IgG)-Hipp/Maltose,,
Immun Glob G(IgG)-Ifas/Glycine,,
Immun Glob G(IgG)/Gly/IgA 0-50,,
Immun Glob G(IgG)/Gly/IgA Ov50,,
Immun Glob G(IgG)/Pro/IgA 0-50,,
Immun Glob G/Gly/Gluc/IgA 0-50,,
Immun Glob G/Sorb/Gly/IgA 0-50,,
Immun Globg(IgG)/Malt/IgA Ov50,,
Immune Globul G (IgG)/Glycine,,
Immune Globul G/Gly/IgA Avg 46,,
"Immune Globulin,Gamma(IgG)klhw",,
"Immune Globulin,Gamma(IgG)slra",,
Inclisiran Sodium,C10AX,High Cholesterol
Incobotulinumtoxina,,
Indapamide,C03BA,Hypertension
Indomethacin,C01EB|M01AB|M02AA|S01BC,Arthritis
Inebilizumab-Cdon,L04AG,Arthritis
Infigratinib Phosphate,,
Infliximab,L04AB,Arthritis
Infliximab-Abda,L04AB,Arthritis
Infliximab-Axxq,L04AB,Arthritis
Infliximab-Dyyb,L04AB,Arthritis
Inotersen Sodium,N07XX,
Inotuzumab Ozogamicin,L01FB,
Insulin Admin. Supplies,,
Insulin Aspart,,
Insulin Aspart (Niacinamide),,
Insulin Aspart Prot/Insuln Asp,,
Insulin Aspart/B3/Pump Cart,,
Insulin Degludec,A10AE,Diabetes
Insulin Degludec/Liraglutide,,
Insulin Detemir,A10AE,Diabetes
"Insulin Glargine,Hum.Rec.Anlog",,
Insulin Glargine-Aglr,A10AE,Diabetes
Insulin Glargine-Yfgn,A10AE,Diabetes
Insulin Glargine/Lixisenatide,,
Insulin Glulisine,A10AB,Diabetes
Insulin Lispro,A10AB|A10AC|A10AD,Diabetes
Insulin Lispro Protamin/Lispro,,
Insulin Lispro-Aabc,A10AB|A10AC|A10AD,Diabetes
Insulin NPh Hum/Reg Insulin Hm,,
Insulin NPh Human Isophane,,
"Insulin Pen,Reusable,Bt Lispro",,
"Insulin Pen,Reusable,Bt,Aspart",,
"Insulin Pump Cart,Auto,Bt/Cntr",,
"Insulin Pump Cart,Automated,Bt",,
"Insulin Pump Cart,Cont Inf,Bt",,
"Insulin Pump Cart,Cont Inf,Rf",,
"Insulin Regular, Human",,
Interferon Beta-1a,L03AB,
Interferon Beta-1a/Albumin,,
Interferon Beta-1b,L03AB,
"Interferon Gamma-1b,Recomb.",,
Ipilimumab,L01FX,
Ipratropium Bromide,R01AX|R03BB,
Ipratropium/Albuterol Sulfate,,
Irbesartan,C09CA,Hypertension
Irbesartan/Hydrochlorothiazide,,
Irinotecan HCl,,
Irinotecan Liposomal,L01CE,
Isatuximab-Irfc,L01FC,
Isavuconazonium Sulfate,,
Isocarboxazid,N06AF,
Isoniazid,J04AC|J04AM,
Isosorbide Dinit/Hydralazine,,
Isosorbide Dinitrate,C01DA|C05AE,
Isosorbide Mononitrate,C01DA,
Isotretinoin,D10AD|D10BA,
"Isotretinoin, Micronized",,
Isradipine,C08CA,Hypertension
Istradefylline,N04CX,
Itraconazole,J02AC,
Ixabepilone,L01DC,
Ixazomib Citrate,L01XG,
Ixekizumab,L04AC,Arthritis
Japanese Encephalitis Vacc/PF,,
Ketoconazole,D01AC|G01AF|H02CA|J02AB,
Ketoprofen,M01AE|M02AA,Arthritis
Ketorolac Tromethamine,M01AB|S01BC,Arthritis
Ketorolac Tromethamine/PF,,
L-Norgest/E.Estradiol-E.Estrad,,
Labetalol HCl,,
Lacosamide,N03AX,
Lactic Acid/Citric/Potassium,,
Lactulose,A06AD,
Lamivudine,J05AF|J05AR,
Lamivudine/Tenofovir Disop Fum,,
Lamivudine/Zidovudine,,
Lamotrigine,N03AX,
Lanadelumab-Flyo,B06AC,
Lanreotide Acetate,H01CB,
Lansoprazole,A02BC,
Lansoprazole/Amoxiciln/Clarith,,
Lanthanum Carbonate,V03AE,
Lapatinib Ditosylate,L01EH,
Laronidase,A16AB,
Larotrectinib Sulfate,L01EX,
Lasmiditan Succinate,,
Latanoprost,S01EE,
Latanoprost/PF,,
Latanoprostene Bunod,S01EE,
Lecanemab-Irmb,N06DX,
Ledipasvir/Sofosbuvir,,
Lefamulin Acetate,J01XX,
Leflunomide,L04AK,Arthritis
Lemborexant,N05CJ,
Lenacapavir Sodium,J05AX,
Lenalidomide,L04AX,Arthritis
Leniolisib Phosphate,L03AX,
Lenvatinib Mesylate,L01EX,
Letermovir,J05AX,
Letrozole,L02BG,
Leucovorin Calcium,V03AF,
Leuprolide Acetate,L02AE,
Levalbuterol HCl,,
Levalbuterol Tartrate,,
Levamlodipine Maleate,C08CA,Hypertension
Levetiracetam,N03AX,
Levetiracetam In NaCl (Iso-Os),,
Levobunolol HCl,,
Levocarnitine,A16AA,
Levocarnitine (With Sugar),,
Levocetirizine Dihydrochloride,R06AE,
Levodopa,N04BA,
Levofloxacin,J01MA|S01AE,
Levofloxacin In Dextrose 5 %,,
Levoketoconazole,D01AC|G01AF|H02CA|J02AB,
Levoleucovorin Calcium,,
Levomefolate Calcium,,
Levomilnacipran HCl,,
Levonorgest/Eth.Estradiol/Iron,,
Levonorgestrel,G03AA|G03AB|G03AC|G03AD,
Levonorgestrel/Ethin.Estradiol,,
Levorphanol Tartrate,,
Levothyroxine Sodium,H03AA,
Lidocaine,C01BB|C05AD|D04AB|N01BB|R02AD|S01HA|S02DA,
Lidocaine HCl,,
Lidocaine HCl/Epinephrine,,
Lidocaine HCl/PF,,
Lidocaine/Hydrocortisone Ac,,
Lidocaine/Prilocaine,,
Lifitegrast,S01XA,
Linaclotide,A06AX,
Linagliptin,A10BD|A10BH,Diabetes
Linagliptin/Metformin HCl,,
Lincomycin HCl,,
Lindane,P03AB,
Linezolid,J01XX,
Linezolid In 0.9% Sodium Chlor,,
Linezolid In Dextrose 5%,,
Liothyronine Sodium,H03AA,
Lipase/Protease/Amylase,,
Liraglutide,A10AE|A10BJ,Diabetes
Lisdexamfetamine Dimesylate,N06BA,
Lisinopril,C09AA,Hypertension
Lisinopril/Hydrochlorothiazide,,
Lithium Carbonate,,
Lithium Citrate,,
Lodoxamide Tromethamine,S01GX,
Lofexidine HCl,,
Lomitapide Mesylate,C10AX,High Cholesterol
Lomustine,L01AD,
Loncastuximab Tesirine-Lpyl,L01FX,
Loperamide HCl,,
Lopinavir/Ritonavir,,
Lorazepam,N05BA,
Lorlatinib,L01ED,
Losartan Potassium,C09CA,Hypertension
Losartan/Hydrochlorothiazide,,
Loteprednol Etabonate,,
Lotilaner,S01AX,
Lovastatin,C10AA|C10BA,High Cholesterol
Loxapine Succinate,N05AH,
Lubiprostone,A06AX,
Luliconazole,D01AC,
Lumacaftor/IVacaftor,,
Lumateperone Tosylate,N05AD,
Lurasidone HCl,,
Lurbinectedin,L01XX,
Luspatercept-Aamt,B03XA,
Lusutrombopag,B02BX,
Macitentan,C02KX,Hypertension
Mafenide Acetate,D06BA,
Magnesium Chloride,A12CC|B05XA,
Magnesium Sulfate,A06AD|A12CC|B05XA|D11AX|V04CC,
Magnesium Sulfate In Water,,
Magnesium Sulfate/D5W,,
Malathion,P03AX,
Mannitol,A06AD|B05BC|B05CX|R05CB|V04CX,
Maralixibat Chloride,A05AX,
Maraviroc,J05AX,
Maribavir,J05AX,
Mavacamten,C01EB,
"Measles,Mumps,Rub,Varicella/PF",,
"Measles,Mumps,Rubella Vacc/PF",,
Mebendazole,P02CA,
Mechlorethamine HCl,,
Meclizine HCl,,
Meclofenamate Sodium,,
Medroxyprogesterone Acetate,G03AA|G03AC|G03DA|L02AB,
Mefenamic Acid,M01AG,Arthritis
Mefloquine HCl,,
Megestrol Acetate,G03AC|G03DB|L02AB,
Meloxicam,M01AC|N01BB,Arthritis
"Meloxicam, Submicronized",,
Melphalan,L01AA,
Memantine HCl,,
Memantine HCl/Donepezil HCl,,
"Mening Vac A,C,Y,W-135 Dip/PF",,
"Mening Vac A,C,Y,W135,C-Tet/PF",,
"Meningococcal B Vaccine,4-Comp",,
Meperidine HCl,,
Meperidine HCl/PF,,
Mepolizumab,R03DX,
Meprobamate,N05BC,
Mercaptopurine,L01BB,
Meropenem,J01DH,
Meropenem-0.9% Sodium Chloride,,
Meropenem/Vaborbactam,,
Mesalamine,A07EC,
Mesalamine W/Cleansing Wipes,,
Mesna,R05CB|V03AF,
Metaxalone,,
Metformin HCl,,
Meth/Meblue/Sod Phos/Psal/Hyos,,
Methadone HCl,,
Methamphetamine HCl,,
Methazolamide,S01EC,
Methenam/Sod Phos/Mblue/Hyoscy,,
Methenamine Hippurate,J01XX,
Methenamine Mandelate,J01XX,
Methimazole,H03BB,
Methocarbamol,M03BA,
Methotrexate,L01BA|L04AX,Arthritis
Methotrexate Sodium,L01BA|L04AX,Arthritis
Methotrexate Sodium/PF,,
Methotrexate/PF,,
Methoxsalen,D05AD|D05BA,
Methscopolamine Bromide,A03BB|S01FA,
Methsuximide,N03AD,
Methylergonovine Maleate,G02AB,
Methylnaltrexone Bromide,A06AH,
Methylphenidate,N06BA,
Methylphenidate HCl,,
Methylprednisolone,D07AA|D07AC|D10AA|H02AB,
Methylprednisolone Acetate,D07AA|D10AA|H02AB,
Methylprednisolone Sod Succ,,
Methylprednisolone Sod Succ/PF,,
Methyltestosterone,G03BA|G03EK,
Metoclopramide HCl,,
Metolazone,C03BA,Hypertension
Metoprolol Succinate,C07AB,Hypertension
Metoprolol Tartrate,C07AB,Hypertension
Metoprolol/Hydrochlorothiazide,,
Metreleptin,A16AA,
Metronidazole,A01AB|A02BD|D06BX|G01AF|J01RA|J01XD|P01AB,
Metronidazole/Sodium Chloride,,
Metyrapone,V04CD,
Metyrosine,C02KB,Hypertension
Mexiletine HCl,,
Micafungin Sodium,J02AX,
Miconazole Nitrate,A01AB|A07AC|D01AC|G01AF|J02AB|S02AA,
Miconazole Nitrate/Zinc Ox/Pet,,
Midazolam,N05CD,
Midazolam HCl,,
Midazolam HCl/PF,,
Midodrine HCl,,
Midostaurin,L01EX,
Mifepristone,G03XB,
Migalastat HCl,,
Miglitol,A10BF,Diabetes
Miglustat,A16AX,
Milnacipran HCl,,
Milrinone Lactate,C01CE,
Milrinone Lactate/D5W,,
Miltefosine,P01CX,
Minocycline HCl,,
Minocycline HCl Microspheres,,
Minoxidil,C02DC|D11AX,Hypertension
Mirabegron,G04BD,
Mirtazapine,N06AX,
Misoprostol,A02BB|G02AD|M01AE,Arthritis
Mitapivat Sulfate,B06AX,
"Mite,D.Farinae-D.Pteronyssinus",,
Mitomycin,L01DC,
Mitotane,L01XX,
Mobocertinib Succinate,L01EB,
Modafinil,N06BA,
Moexipril HCl,,
Mogamulizumab-Kpkc,L01FX,
Molindone HCl,,
Molnupiravir,J05AB,
Momelotinib Dihydrochloride,,
Mometasone Furoate,D07AC|D07XC|R01AD|R03AK|R03BA,
Mometasone/Formoterol,,
Monomethyl Fumarate,,
Montelukast Sodium,R03DC,
Morphine Sulfate,N02AA,
Morphine Sulfate/PF,,
Moxifloxacin HCl,,
Moxifloxacin-Sod.Chloride(Iso),,
"Moxifloxacin/Sod.Ace,Sul/Water",,
Multivit 47/Iron/Folate 1/DHA,,
Multivit-Min69/Iron/Folic Acid,,
Multivit-Mins60/Iron Fum/Folic,,
Multivit41/Iron/Folate8/Ps-DHA,,
Mupirocin,D06AX|R01AX,
Mupirocin Calcium,D06AX|R01AX,
Mv-Mins 71/Iron/Folic No.1/DHA,,
Mvn-Min 74/Iron Fum/Iron/FA,,
Mvn-Min75/Iron/Iron Ps/Om3/DHA,,
Mycophenolate Mofetil,,
Mycophenolate Sodium,,
"N.Meningitidis B,Lipid Fhbp Rc",,
Nabumetone,M01AX,Arthritis
Nadolol,C07AA,Hypertension
Nafarelin Acetate,H01CA,
"Nafcillin In Dextrose,Iso-Osm",,
Nafcillin Sodium,J01CF,
Naftifine HCl,,
Nalbuphine HCl,,
Naldemedine Tosylate,A06AH,
Naloxegol Oxalate,A06AH,
Naloxone HCl,,
Naltrexone HCl,,
Naltrexone HCl/Bupropion HCl,,
Naltrexone Microspheres,,
Naproxen,G02CC|M01AE|M02AA|N02CC,Arthritis
Naproxen Sodium,G02CC|M01AE|M02AA|N02CC,Arthritis
Naproxen/Esomeprazole Mag,,
Naratriptan HCl,,
Natalizumab,L04AG,Arthritis
Natamycin,A01AB|A07AA|D01AA|G01AA|S01AA,
Nateglinide,A10BX,Diabetes
Nebivolol HCl,,
Nefazodone HCl,,
Nelfinavir Mesylate,J05AE,
Neomyc/Colist/Hydrocort/Thonzn,,
Neomycin Sulf/Polymyxin B Sulf,,
Neomycin Sulfate,A01AB|A07AA|B05CA|D06AX|J01GB|R02AB|S01AA|S02AA|S03AA,
Neomycin Sulfate/Fluocinolone,,
Neomycin/Bacit/P-Myx/Hydrocort,,
Neomycin/Bacitracin/Polymyxinb,,
Neomycin/Polymyxin B/Dexametha,,
Neomycin/Polymyxin B/Hydrocort,,
Neomycin/Polymyxn B/Gramicidin,,
Nepafenac,S01BC,
Neratinib Maleate,L01EH,
Netarsudil Mesylat/Latanoprost,,
Netarsudil Mesylate,S01EX,
Netupitant/Palonosetron HCl,,
Nevirapine,J05AG|J05AR,
Niacin,C04AC|C10AD|C10BA,High Cholesterol
Nicardipine HCl,,
Nicotine,N07BA,
Nifedipine,C07FB|C08CA,Hypertension
Nilotinib HCl,,
Nilutamide,L02BB,
Nimodipine,C08CA,Hypertension
Nintedanib Esylate,L01EX,
Niraparib Tosylate,L01XK,
Niraparib/Abiraterone,,
Nirmatrelvir/Ritonavir,,
Nirogacestat Hydrobromide,L01XX,
Nisoldipine,C08CA,Hypertension
Nitazoxanide,P01AX,
Nitisinone,A16AX,
Nitrofurantoin,J01XE,
Nitrofurantoin Macrocrystal,,
Nitrofurantoin Monohyd/M-Cryst,,
Nitroglycerin,C01DA|C05AE,
Nivolumab,L01FF|L01FY,
Nivolumab-Relatlimab-Rmbw,,
Nizatidine,A02BA,
Non-Adherent Bandage,,
Norelgestromin/Ethin.Estradiol,,
Noreth-Ethinyl Estradiol/Iron,,
Norethindrone,G03AA|G03AB|G03AC|G03DC,
Norethindrone Ac-Eth Estradiol,,
Norethindrone Acetate,G03AA|G03AB|G03AC|G03DC,
Norethindrone-E.Estradiol-Iron,,
Norethindrone-Ethin. Estradiol,,
Norgestimate-Ethinyl Estradiol,,
Norgestrel-Ethinyl Estradiol,,
Nortriptyline HCl,,
Nusinersen Sodium/PF,,
Nystatin,A07AA|D01AA|G01AA|J01RA,
Nystatin/Triamcinolone Acet,,
Obeticholic Acid,A05AA,
Obinutuzumab,L01FA,
Ocrelizumab,L04AG,Arthritis
Octreotide Acetate,H01CB,
"Octreotide Acetate,Mi-Spheres",,
Odevixibat,A05AX,
Ofatumumab,L01FA|L04AG,Arthritis
Ofloxacin,J01MA|S01AE|S02AA,
Olanzapine,N05AH,
Olanzapine Pamoate,N05AH,
Olanzapine/Fluoxetine HCl,,
Olanzapine/Samidorphan Malate,,
Olaparib,L01XK,
Olipudase Alfa-Rpcp,A16AB,
Olmesartan Medoxomil,C09CA,Hypertension
Olmesartan/Amlodipin/HCThiazid,,
Olmesartan/Hydrochlorothiazide,,
Olodaterol HCl,,
Olopatadine HCl,,
Olopatadine HCl/Mometasone,,
Olsalazine Sodium,A07EC,
Olutasidenib,L01XM,
Omacetaxine Mepesuccinate,L01XX,
Omadacycline Tosylate,J01AA,
Omalizumab,R03DX,
Omaveloxolone,N07XX,
Omega-3 Acid Ethyl Esters,,
Omeprazole,A02BC|A02BD,
Omeprazole Magnesium,A02BC,
Omeprazole/Amoxicill/Rifabutin,,
Omeprazole/Sodium Bicarbonate,,
Onabotulinumtoxina,,
Ondansetron,A04AA,
Ondansetron HCl,,
Ondansetron HCl/PF,,
Opicapone,N04BX,
Opium Tincture,A07DA|N02AA,
Oritavancin Diphosphate,J01XA,
Orlistat,A08AB,Obesity
Orphenadrine Citrate,M03BC,
Orphenadrine/Aspirin/Caffeine,,
Oseltamivir Phosphate,J05AH,
Osilodrostat Phosphate,H02CA,
Osimertinib Mesylate,L01EB,
Ospemifene,G03XC,
Oteseconazole,J02AC,
Oxacillin In Dextrose(Iso-Osm),,
Oxacillin Sodium,J01CF,
Oxaliplatin,L01XA,
Oxandrolone,A14AA,
Oxaprozin,M01AE,Arthritis
Oxazepam,N05BA,
Oxcarbazepine,N03AF,
Oxiconazole Nitrate,D01AC|G01AF,
Oxybutynin,G04BD,
Oxybutynin Chloride,G04BD,
Oxycodone HCl,,
Oxycodone HCl/Acetaminophen,,
Oxycodone Myristate,,
Oxymetazoline HCl,,
Oxymorphone HCl,,
Ozanimod Hydrochloride,L04AE,Arthritis
"PEG 3350/Sod Sulf,Chlr/Pot/Mag",,
PEG3350/Sod Sul/NaCl/KCl/Asb/C,,
"PEG3350/Sod Sulf,Bicarb,Cl/KCl",,
PEGcetacoplan,L04AJ|S01XA,Arthritis
PEGcetacoplan/PF,,
PEGfilgrastim,L03AA,
PEGfilgrastim-Apgf,L03AA,
PEGfilgrastim-Bmez,L03AA,
PEGfilgrastim-Cbqv,L03AA,
PEGfilgrastim-Jmdb,L03AA,
PEGfilgrastim-Pbbk,L03AA,
PEGinterferon Alfa-2a,L03AB,
PEGinterferon Beta-1a,L03AB,
PEGloticase,M04AX,Arthritis
PEGunigalsidase Alfa-Iwxj,A16AB,
PEGvaliase-Pqpz,A16AB,
PEGvisomant,H01AX,
PNV 102/Iron/Folate/DHA,,
PNV 11/Iron Fum/Folic Acid/Om3,,
PNV 112/Iron/Folic/Om3/DHA/EPA,,
PNV 119/Iron Fum/Folic Acid,,
PNV 67/Iron Ps/Folate No.1/DHA,,
PNV Cmb 52/Iron/FA/Omega-3/DHA,,
PNV No.118/Iron Fumarate/FA,,
PNV No.163/Iron/Folate No.10,,
"PNV,Calcium 72/Iron/Folic Acid",,
"PNV19/Iron Bg,S.P/Folic Ac/Om3",,
Paclitaxel,L01CD,
Paclitaxel Protein-Bound,L01CD,
Pacritinib Citrate,L01EJ,
Palbociclib,L01EF,
Paliperidone,N05AX,
Paliperidone Palmitate,N05AX,
Palivizumab,J06BD,
Palonosetron HCl,,
Pamidronate Disodium,,
Panitumumab,L01FE,
Pantoprazole Sodium,A02BC,
Parenteral Amino Acid 10% No.6,,
Parenteral Amino Acid 10% No.7,,
Parenteral Amino Acid 15% No.5,,
Parenteral Amino Acid 15% No.6,,
Parenteral Amino Acid 20% No.1,,
Paricalcitol,H05BX,
Paromomycin Sulfate,A07AA,
Paroxetine HCl,,
Paroxetine Mesylate,N06AB,
Pasireotide Diaspartate,H01CB,
Pasireotide Pamoate,H01CB,
Patiromer Calcium Sorbitex,,
"Patisiran Sodium,Lipid Complex",,
Pazopanib HCl,,
Pedi Multivit 45/Fluoride/Iron,,
Pedi Multivit No.17 W-Fluoride,,
Pedi Multivit No.2 W-Fluoride,,
Pediatric Multivitamin No.17,,
Pembrolizumab,L01FF,
Pemetrexed Disodium,L01BA,
Pemigatinib,L01EN,
Pen G Benz/Pen G Procaine,,
Pen G Pot/Dextrose-Water,,
"Pen Needle, Diabetic",,
"Pen Needle, Diabetic, Safety",,
"Pen Needle, Diabetic,Disp Unit",,
"Pen Needle,Dual Safety,Diabetc",,
Penciclovir,D06BB|J05AB,
Penicillamine,M01CC,Arthritis
Penicillin G Benzathine,J01CE|S01AA,
Penicillin G Potassium,J01CE|S01AA,
Penicillin G Procaine,J01CE|S01AA,
Penicillin G Sodium,J01CE|S01AA,
Penicillin V Potassium,J01CE,
Pentamidine Isethionate,P01CX,
Pentazocine HCl/Naloxone HCl,,
Pentosan Polysulfate Sodium,C05BA|G04BX,
Pentostatin,L01XX,
Pentoxifylline,C04AD,
Perampanel,N03AX,
Perfluorohexyloctane/PF,,
Perindopril Erbumine,C09AA,Hypertension
Permethrin,P03AC,
Perphenazine,N05AB,
Perphenazine/Amitriptyline HCl,,
Pertuzumab,L01FD,
Pertuzumab-Trastuzumab-Hy-Zzxf,,
Pexidartinib Hydrochloride,L01EX,
Phenazopyridine HCl,,
Phenelzine Sulfate,N06AF,
Phenobarbital,N03AA,
Phenobarbital Sodium,N03AA,
Phenoxybenzamine HCl,,
Phentermine HCl,,
Phentolamine Mesylate,C04AB|V03AB,
Phenylephrine HCl,,
Phenylephrine HCl/Prometh HCl,,
Phenytoin,N03AB,
Phenytoin Sodium,N03AB,
Phenytoin Sodium Extended,,
Pilocarpine HCl,,
Pimavanserin Tartrate,N05AX,
Pimecrolimus,D11AH,
Pimozide,N05AG,
Pindolol,C07AA,Hypertension
Pioglitazone HCl,,
Pioglitazone HCl/Glimepiride,,
Pioglitazone HCl/Metformin HCl,,
Piperacillin Sodium/Tazobactam,,
"Piperacillin-Tazo-Dextrose,Iso",,
Pirfenidone,L04AX,Arthritis
Piroxicam,M01AC|M02AA|S01BC,Arthritis
Pirtobrutinib,L01EL,
Pitavastatin Calcium,C10AA,High Cholesterol
Pitavastatin Magnesium,C10AA,High Cholesterol
Pitolisant HCl,,
Plecanatide,A06AX,
Plerixafor,L03AX,
Podofilox,D06BB,
Polatuzumab Vedotin-Piiq,L01FX,
"Poliomyelitis Vaccine, Killed",,
Polymyxin B Sulf/Trimethoprim,,
Polymyxin B Sulfate,A07AA|J01XB|S01AA|S02AA|S03AA,
Pomalidomide,L04AX,Arthritis
Ponatinib HCl,,
Ponesimod,L04AE,Arthritis
Posaconazole,J02AC,
Potassium Acetate,B05XA,
Potassium Bicarbonate/Cit Ac,,
Potassium Chloride,A12BA|B05XA,
Potassium Chloride In 0.9%NaCl,,
Potassium Chloride In D5W,,
Potassium Chloride In Lr-D5,,
Potassium Chloride In Water,,
Potassium Chloride-0.45% NaCl,,
Potassium Chloride/D5-0.45NaCl,,
Potassium Chloride/D5-0.9%NaCl,,
Potassium Citrate,A12BA,
Potassium Citrate/Citric Acid,,
"Potassium Phos,M-Basic-D-Basic",,
"Potassium Phosphate,Monobasic",,
Povidone-Iodine,D08AG|D09AA|D11AC|G01AX|R02AA|S01AX,
Pralsetinib,L01EX,
Pramipexole Di-HCl,,
Pramlintide Acetate,A10BX,Diabetes
Prasterone (Dhea),,
Prasugrel HCl,,
Pravastatin Sodium,C10AA,High Cholesterol
Praziquantel,P02BA,
Prazosin HCl,,
Prednicarbate,D07AC,
Prednisolone,A01AC|A07EA|C05AA|D07AA|D07XA|H02AB|R01AD|S01BA|S01CB|S02BA|S03BA,
Prednisolone Acetate,A01AC|A07EA|C05AA|D07AA|D07XA|H02AB|R01AD|S01BA|S01CB|S02BA|S03BA,
