,Brnd_Name,Gnrc_Name,Tot_Mftr,Mftr_Name,Year,CAGR_Avg_Spnd_Per_Dsg_Unt_19_23,Chg_Avg_Spnd_Per_Dsg_Unt_22_23,Avg_Spnd_Per_Bene,Avg_Spnd_Per_Clm,Avg_Spnd_Per_Dsg_Unt_Wghtd,Outlier_Flag,Tot_Benes,Tot_Clms,Tot_Dsg_Unts,Tot_Spndng,ATC_Codes,Disease_Category
43,Abacavir,Abacavir Sulfate,1,Aurobindo Pharm,2022,-0.009052843,-0.094260319,1675.7037143,255.84108262,3.9403598862,0.0,1155.0,7565.0,491183.0,1935437.79,J05AF,Other / Not classified
44,Abacavir,Abacavir Sulfate,1,Aurobindo Pharm,2023,-0.009052843,-0.094260319,1462.6811813,233.88356918,3.5689403073,0.0,965.0,6035.0,395492.0,1411487.34,J05AF,Other / Not classified
45,Abacavir,Abacavir Sulfate,1,Camber Pharmace,2019,0.0495095109,-0.052506573,1281.1724871,237.94746108,3.1949178056,0.0,3305.0,17795.0,1473874.0,4234275.07,J05AF,Other / Not classified
46,Abacavir,Abacavir Sulfate,1,Camber Pharmace,2020,0.0495095109,-0.052506573,1429.0319654,261.60504529,3.3884973498,0.0,2951.0,16120.0,1343347.0,4217073.33,J05AF,Other / Not classified
47,Abacavir,Abacavir Sulfate,1,Camber Pharmace,2021,0.0495095109,-0.052506573,1305.8960893,239.22274355,3.0321813782,0.0,2373.0,12954.0,1109140.0,3098891.42,J05AF,Other / Not classified
48,Abacavir,Abacavir Sulfate,1,Camber Pharmace,2022,0.0495095109,-0.052506573,1763.6513696,319.2022913,4.0909954694,0.0,1767.0,9763.0,846204.0,3116371.97,J05AF,Other / Not classified
49,Abacavir,Abacavir Sulfate,1,Camber Pharmace,2023,0.0495095109,-0.052506573,1709.4130565,307.04298195,3.8761913159,0.0,1433.0,7978.0,723048.0,2449588.91,J05AF,Other / Not classified
55,Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,1,Lupin Pharmaceu,2019,0.0455213533,0.1091405986,2091.8764595,368.42835586,11.605295442,0.0,1850.0,10504.0,333466.0,3869971.45,,Other / Not classified
56,Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,1,Lupin Pharmaceu,2020,0.0455213533,0.1091405986,2154.1544116,383.65468193,11.245301635,1.0,1929.0,10831.0,369520.0,4155363.86,,Other / Not classified
57,Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,1,Lupin Pharmaceu,2021,0.0455213533,0.1091405986,1918.7743092,317.61905255,9.1216605809,1.0,1216.0,7346.0,255790.0,2333229.56,,Other / Not classified
58,Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,1,Lupin Pharmaceu,2022,0.0455213533,0.1091405986,2264.5177706,426.93622118,12.502625629,0.0,924.0,4901.0,167358.0,2092414.42,,Other / Not classified
59,Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,1,Lupin Pharmaceu,2023,0.0455213533,0.1091405986,1987.3015337,476.36786765,13.867169674,0.0,326.0,1360.0,46719.0,647860.3,,Other / Not classified
60,Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,1,Laurus Labs Lim,2019,,,,,,nan,,,,,,Other / Not classified
61,Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,1,Laurus Labs Lim,2020,,,,,,nan,,,,,,Other / Not classified
62,Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,1,Laurus Labs Lim,2021,,,,,,nan,,,,,,Other / Not classified
63,Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,1,Laurus Labs Lim,2022,,,,,,nan,,,,,,Other / Not classified
64,Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,1,Laurus Labs Lim,2023,,,1621.7197826,563.01215094,16.440575207,0.0,92.0,265.0,9075.0,149198.22,,Other / Not classified
65,Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,1,"Cipla USA, Inc.",2019,0.0244081634,0.0095258229,1960.8509105,344.02042775,10.235164736,0.0,2625.0,14962.0,502897.0,5147233.64,,Other / Not classified
66,Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,1,"Cipla USA, Inc.",2020,0.0244081634,0.0095258229,1456.9782263,368.20439873,10.812308335,1.0,1511.0,5979.0,203610.0,2201494.1,,Other / Not classified
67,Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,1,"Cipla USA, Inc.",2021,0.0244081634,0.0095258229,1775.6151615,289.72305423,7.9162319913,1.0,2013.0,12337.0,451517.0,3574313.32,,Other / Not classified
68,Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,1,"Cipla USA, Inc.",2022,0.0244081634,0.0095258229,2609.1655847,431.53059643,11.165277651,0.0,2138.0,12927.0,499620.0,5578396.02,,Other / Not classified
69,Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,1,"Cipla USA, Inc.",2023,0.0244081634,0.0095258229,2857.3511139,442.67227122,11.271636108,0.0,1957.0,12632.0,496098.0,5591836.13,,Other / Not classified
70,Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,1,Aurobindo Pharm,2019,0.0132656762,-0.013013313,2529.6998998,432.17059692,12.445644073,0.0,1597.0,9348.0,324606.0,4039930.74,,Other / Not classified
71,Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,1,Aurobindo Pharm,2020,0.0132656762,-0.013013313,2036.8320246,414.68256882,11.33896345,0.0,1383.0,6793.0,248430.0,2816938.69,,Other / Not classified
72,Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,1,Aurobindo Pharm,2021,0.0132656762,-0.013013313,1952.5870368,361.34807435,8.5163266572,1.0,1603.0,8662.0,367529.0,3129997.02,,Other / Not classified
73,Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,1,Aurobindo Pharm,2022,0.0132656762,-0.013013313,3176.2326949,599.71761144,13.292277752,0.0,1347.0,7134.0,321870.0,4278385.44,,Other / Not classified
74,Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,1,Aurobindo Pharm,2023,0.0132656762,-0.013013313,3117.7373489,607.39230316,13.119301181,0.0,1158.0,5944.0,275193.0,3610339.85,,Other / Not classified
80,Abilify,Aripiprazole,1,Otsuka America,2019,-0.085913695,0.0090919108,7317.338079,1282.517348,33.402208187,0.0,3670.0,20939.0,808281.5,26854630.75,N05AX,Other / Not classified
81,Abilify,Aripiprazole,1,Otsuka America,2020,-0.085913695,0.0090919108,9669.0010308,1384.0189163,34.436527492,0.0,2532.0,17689.0,716447.5,24481910.61,N05AX,Other / Not classified
82,Abilify,Aripiprazole,1,Otsuka America,2021,-0.085913695,0.0090919108,9422.6546366,1342.3007129,32.656164441,0.0,2174.0,15261.0,633899.0,20484851.18,N05AX,Other / Not classified
83,Abilify,Aripiprazole,1,Otsuka America,2022,-0.085913695,0.0090919108,6844.3845313,967.26176211,23.109644371,0.0,1920.0,13586.0,575817.0,13141218.3,N05AX,Other / Not classified
84,Abilify,Aripiprazole,1,Otsuka America,2023,-0.085913695,0.0090919108,6845.0133583,980.84549649,23.319755196,0.0,1736.0,12115.0,516496.25,11882943.19,N05AX,Other / Not classified
90,Abilify Asimtufii,Aripiprazole,1,Otsuka America,2019,,,,,,nan,,,,,N05AX,Other / Not classified
91,Abilify Asimtufii,Aripiprazole,1,Otsuka America,2020,,,,,,nan,,,,,N05AX,Other / Not classified
92,Abilify Asimtufii,Aripiprazole,1,Otsuka America,2021,,,,,,nan,,,,,N05AX,Other / Not classified
93,Abilify Asimtufii,Aripiprazole,1,Otsuka America,2022,,,,,,nan,,,,,N05AX,Other / Not classified
94,Abilify Asimtufii,Aripiprazole,1,Otsuka America,2023,,,10738.275971,5484.9866058,1783.0262923,0.0,1231.0,2410.0,7414.2,13218817.72,N05AX,Other / Not classified
100,Abilify Maintena,Aripiprazole,1,Otsuka America,2019,0.0530322483,0.0700776018,16601.966183,2231.3555162,2222.0696373,0.0,25421.0,189140.0,189937.35,422038582.34,N05AX,Other / Not classified
101,Abilify Maintena,Aripiprazole,1,Otsuka America,2020,0.0530322483,0.0700776018,17948.729315,2265.1197827,2253.5948883,0.0,25646.0,203218.0,204264.771,460313112.01,N05AX,Other / Not classified
102,Abilify Maintena,Aripiprazole,1,Otsuka America,2021,0.0530322483,0.0700776018,18922.786757,2392.0851736,2368.5084279,0.0,26393.0,208784.0,210840.18,499429110.88,N05AX,Other / Not classified
103,Abilify Maintena,Aripiprazole,1,Otsuka America,2022,0.0530322483,0.0700776018,20367.209959,2564.0247941,2553.3425156,0.0,27676.0,219843.0,220767.4,563682902.82,N05AX,Other / Not classified
104,Abilify Maintena,Aripiprazole,1,Otsuka America,2023,0.0530322483,0.0700776018,21678.054699,2743.1616326,2732.2746358,0.0,29378.0,232162.0,233084.9,636857890.94,N05AX,Other / Not classified
110,Abilify Mycite,Aripiprazole,1,Otsuka America,2019,0.0035133632,-0.002723299,,1689.7025,56.323416667,1.0,,24.0,720.0,40552.86,N05AX,Other / Not classified
111,Abilify Mycite,Aripiprazole,1,Otsuka America,2020,0.0035133632,-0.002723299,6158.1473333,1965.3661702,56.908812057,1.0,15.0,47.0,1620.0,92372.21,N05AX,Other / Not classified
112,Abilify Mycite,Aripiprazole,1,Otsuka America,2021,0.0035133632,-0.002723299,,1816.4129032,56.778172043,1.0,,31.0,990.0,56308.8,N05AX,Other / Not classified
113,Abilify Mycite,Aripiprazole,1,Otsuka America,2022,0.0035133632,-0.002723299,,1718.2534091,57.275113636,1.0,,44.0,1320.0,75603.15,N05AX,Other / Not classified
114,Abilify Mycite,Aripiprazole,1,Otsuka America,2023,0.0035133632,-0.002723299,,1713.5740909,57.119136364,1.0,,44.0,1320.0,75397.26,N05AX,Other / Not classified
120,Abiraterone Acetate,Abiraterone Acetate,1,AHP,2019,-0.352354565,,,,,nan,,,,,L01XK|L02BX,Other / Not classified
121,Abiraterone Acetate,Abiraterone Acetate,1,AHP,2020,-0.352354565,,,668.16772727,11.95096748,1.0,,22.0,1230.0,14699.69,L01XK|L02BX,Other / Not classified
122,Abiraterone Acetate,Abiraterone Acetate,1,AHP,2021,-0.352354565,,,,,nan,,,,,L01XK|L02BX,Other / Not classified
123,Abiraterone Acetate,Abiraterone Acetate,1,AHP,2022,-0.352354565,,,,,nan,,,,,L01XK|L02BX,Other / Not classified
124,Abiraterone Acetate,Abiraterone Acetate,1,AHP,2023,-0.352354565,,428.20461538,379.545,3.2464968896,0.0,39.0,44.0,5144.0,16699.98,L01XK|L02BX,Other / Not classified
125,Abiraterone Acetate,Abiraterone Acetate,1,Mylan,2019,0.1933007912,-0.088637337,22305.789263,5460.9225725,46.222128665,0.0,4018.0,16412.0,1938999.0,89624661.26,L01XK|L02BX,Other / Not classified
126,Abiraterone Acetate,Abiraterone Acetate,1,Mylan,2020,0.1933007912,-0.088637337,16171.537643,4356.4389528,38.1716888,0.0,2876.0,10676.0,1227017.0,46509342.26,L01XK|L02BX,Other / Not classified
127,Abiraterone Acetate,Abiraterone Acetate,1,Mylan,2021,0.1933007912,-0.088637337,24156.700825,6703.0875959,103.38309006,0.0,4349.0,15673.0,1174828.0,105057491.89,L01XK|L02BX,Other / Not classified
128,Abiraterone Acetate,Abiraterone Acetate,1,Mylan,2022,0.1933007912,-0.088637337,22223.690179,6277.4639184,102.83913715,0.0,2908.0,10295.0,663377.0,64626491.04,L01XK|L02BX,Other / Not classified
129,Abiraterone Acetate,Abiraterone Acetate,1,Mylan,2023,0.1933007912,-0.088637337,18852.849961,5786.2721376,93.723749896,0.0,2560.0,8341.0,552021.0,48263295.9,L01XK|L02BX,Other / Not classified
130,Abiraterone Acetate,Abiraterone Acetate,1,"Civicascript, L",2019,-0.0272329,-0.0272329,,,,nan,,,,,L01XK|L02BX,Other / Not classified
131,Abiraterone Acetate,Abiraterone Acetate,1,"Civicascript, L",2020,-0.0272329,-0.0272329,,,,nan,,,,,L01XK|L02BX,Other / Not classified
132,Abiraterone Acetate,Abiraterone Acetate,1,"Civicascript, L",2021,-0.0272329,-0.0272329,,,,nan,,,,,L01XK|L02BX,Other / Not classified
133,Abiraterone Acetate,Abiraterone Acetate,1,"Civicascript, L",2022,-0.0272329,-0.0272329,404.60323529,205.32104478,1.8196441799,0.0,34.0,67.0,7560.0,13756.51,L01XK|L02BX,Other / Not classified
134,Abiraterone Acetate,Abiraterone Acetate,1,"Civicascript, L",2023,-0.0272329,-0.0272329,967.7436,192.31788553,1.7700899912,0.0,125.0,629.0,68340.0,120967.95,L01XK|L02BX,Other / Not classified
135,Abiraterone Acetate,Abiraterone Acetate,1,West-Ward/Hikma,2019,-0.480624683,-0.039302301,8877.0008723,2010.4786746,17.635575443,0.0,1731.0,7643.0,871312.0,15366088.51,L01XK|L02BX,Other / Not classified
136,Abiraterone Acetate,Abiraterone Acetate,1,West-Ward/Hikma,2020,-0.480624683,-0.039302301,1901.6072138,296.34124867,2.6202306864,0.0,2053.0,13174.0,1489945.0,3903999.61,L01XK|L02BX,Other / Not classified
137,Abiraterone Acetate,Abiraterone Acetate,1,West-Ward/Hikma,2021,-0.480624683,-0.039302301,1172.5654042,180.6319696,1.5828618063,0.0,2635.0,17105.0,1951977.0,3089709.84,L01XK|L02BX,Other / Not classified
138,Abiraterone Acetate,Abiraterone Acetate,1,West-Ward/Hikma,2022,-0.480624683,-0.039302301,1032.7517286,160.5460797,1.3357590052,0.0,3390.0,21807.0,2621003.0,3501028.36,L01XK|L02BX,Other / Not classified
139,Abiraterone Acetate,Abiraterone Acetate,1,West-Ward/Hikma,2023,-0.480624683,-0.039302301,1065.5116417,161.82533763,1.2832606029,0.0,4008.0,26390.0,3327906.0,4270570.66,L01XK|L02BX,Other / Not classified
140,Abiraterone Acetate,Abiraterone Acetate,1,Bluepoint/Oncop,2019,-0.047469936,-0.077685603,,,,nan,,,,,L01XK|L02BX,Other / Not classified
141,Abiraterone Acetate,Abiraterone Acetate,1,Bluepoint/Oncop,2020,-0.047469936,-0.077685603,,,,nan,,,,,L01XK|L02BX,Other / Not classified
142,Abiraterone Acetate,Abiraterone Acetate,1,Bluepoint/Oncop,2021,-0.047469936,-0.077685603,10661.178045,3218.685995,27.366630299,0.0,839.0,2779.0,326848.0,8944728.38,L01XK|L02BX,Other / Not classified
143,Abiraterone Acetate,Abiraterone Acetate,1,Bluepoint/Oncop,2022,-0.047469936,-0.077685603,14495.276174,3101.4017531,26.921528963,0.0,1827.0,8539.0,983706.0,26482869.57,L01XK|L02BX,Other / Not classified
144,Abiraterone Acetate,Abiraterone Acetate,1,Bluepoint/Oncop,2023,-0.047469936,-0.077685603,13064.759279,2842.9891502,24.830113759,0.0,2845.0,13074.0,1496942.0,37169240.15,L01XK|L02BX,Other / Not classified
145,Abiraterone Acetate,Abiraterone Acetate,1,Major Pharmaceu,2019,-0.221234979,-0.104129562,,,,nan,,,,,L01XK|L02BX,Other / Not classified
146,Abiraterone Acetate,Abiraterone Acetate,1,Major Pharmaceu,2020,-0.221234979,-0.104129562,,421.16363636,8.3323741007,1.0,,11.0,556.0,4632.8,L01XK|L02BX,Other / Not classified
147,Abiraterone Acetate,Abiraterone Acetate,1,Major Pharmaceu,2021,-0.221234979,-0.104129562,505.20026316,286.53149254,4.5075393285,0.0,38.0,67.0,4259.0,19197.61,L01XK|L02BX,Other / Not classified
148,Abiraterone Acetate,Abiraterone Acetate,1,Major Pharmaceu,2022,-0.221234979,-0.104129562,787.9433871,325.68326667,4.3928144951,0.0,62.0,150.0,11121.0,48852.49,L01XK|L02BX,Other / Not classified
149,Abiraterone Acetate,Abiraterone Acetate,1,Major Pharmaceu,2023,-0.221234979,-0.104129562,703.87821918,330.79255365,3.9353926474,0.0,219.0,466.0,39170.0,154149.33,L01XK|L02BX,Other / Not classified
150,Abiraterone Acetate,Abiraterone Acetate,1,Florida Pharmac,2019,9.7490390458,9.7490390458,,,,nan,,,,,L01XK|L02BX,Other / Not classified
151,Abiraterone Acetate,Abiraterone Acetate,1,Florida Pharmac,2020,9.7490390458,9.7490390458,,,,nan,,,,,L01XK|L02BX,Other / Not classified
152,Abiraterone Acetate,Abiraterone Acetate,1,Florida Pharmac,2021,9.7490390458,9.7490390458,,,,nan,,,,,L01XK|L02BX,Other / Not classified
153,Abiraterone Acetate,Abiraterone Acetate,1,Florida Pharmac,2022,9.7490390458,9.7490390458,220.70875,203.31957576,1.6648997519,0.0,152.0,165.0,20150.0,33547.73,L01XK|L02BX,Other / Not classified
154,Abiraterone Acetate,Abiraterone Acetate,1,Florida Pharmac,2023,9.7490390458,9.7490390458,4592.7559088,1861.1521272,17.89607244,1.0,4473.0,11038.0,1221311.0,20543397.18,L01XK|L02BX,Other / Not classified
155,Abiraterone Acetate,Abiraterone Acetate,1,Northstar Rx Ll,2019,0.0255537908,-0.121431895,,,,nan,,,,,L01XK|L02BX,Other / Not classified
